candidate,text
bernie,already registered or not from california? help us reach californians in in 3 steps.
bernie,"we have a broken immigration system that divides families and keeps millions of hard-working people in the shadows. as president, i will lead the effort for comprehensive immigration reform and a path toward citizenship. i will establish immigration policies that keep families together, not divide them."
bernie,"if a bank is too big to fail, it's too big to exist. when it comes to wall street reform that must be our bottom line."
bernie,"in the coming decades, wars may be fought over water, not oil. we must take bold action to combat climate change now."
bernie,it is not good enough to talk about public education being kindergarten to 12th grade anymore. we need to make public colleges tuition-free.
bernie,"the corporate media and big interests want you to think small. well, we're gonna think big."
bernie,
bernie,the establishment wants us to believe that we cannot provide paid family and medical leave to our people. we can. 
bernie,
bernie,"the establishment wants us to believe that millions of people should continue going without any health insurance. we believe that if we stand together, all americans can have health care as a right. "
bernie,
bernie,"the drug companies tell us that we cannot lower the outrageously high price of medicine. together, that is exactly what we are gonna do. "
bernie,
bernie,the fossil fuel industry tells us that we cannot move aggressively to combat climate change. but that is precisely what we will do. 
bernie,
bernie,"they told us our campaign was \""too radical,\"" and that we were just a \""fringe campaign.\"" well we've won 21 contests so far, with a chance to win many of the upcoming states."
bernie,
bernie,let's keep standing up. let's stick together. let's win.
bernie,"all of this tells us why we need comprehensive immigration reform. i would hope that the republicans in congress understand that we have a very, very broken immigration system and that it must be reformed and that they should in fact work with democrats to pass comprehensive immigration reform. if not and if i am elected president of the united states, i will use the executive powers that the president has to do that the best that i can."
bernie,na
bernie,we’re in the final stretch. today’s the day to make sure you’re taking action: berniesanders.com/june7
bernie,"justin bartha and matthew cooke are right. we need politicians that stay true to their values, and do not allow big money interests to buy their support."
bernie,i applaud president obama on his historic support for expanding social security.
bernie,"muhammad ali was the greatest, not only an extraordinary athlete but a man of great courage and humanity."
bernie,add your name if you agree that it's time the corporate news networks start covering bernie.
bernie,bernie going for the full california experience at in-n-out!
bernie,"a whopping total of 694 pledged delegates are up for grabs on tuesday, and – especially given the latest polling out of california – we believe we have a good chance of winning a big majority of them. but we need your help to do that."
bernie,"stand together. vote together. together, we can change america."
